,artist_mb,artist_lastfm,country_mb,tags_mb,tags_lastfm
481957,Screen Djeh,Screen Djeh,France,electronic; downtempo; ambient; hip hop; abstract hip-hop; trip hop,
482540,F.O.S.,F.O.S.,,instrumental; hip hop; instrumental hip hop; glacial rap,thrash metal; US MEtal; Berkshire; iwasrecommendedthis; playmoreonlastfm
483276,Moça,moça,United States,rock; pop; hip hop; reggae; alternative; model; r&b; entertainer,
483295,АРИна РАДИО,Арина Радио,,crossover; rapcore,
483563,Dat Brass,Dat Brass,United Kingdom,rap; hip-hop; brass,
484001,Nafe,Nafe,United States,hip hop,
484034,Northsiderz,Northsiderz,Canada,hip hop,
484543,Auggie Velarde,Auggie Velarde,United States,electronic; hip hop; music; wave,
485016,Killz,Killz,,hip hop,
486098,Kay Bandz,Kay Bandz,Canada,hip hop,
486180,Mackned,Mackned (of Thraxxhouse),United States,instrumental; hip hop; instrumental hip hop; glacial rap,
486359,Project E.A.R.,Project E.A.R.,,rock; rap; hip-hop; singapore; indonesia; thailand; malaysia; philippines; super group,Hip-Hop; rock; rapcore
486519,ThaiZZier,Thaizzier,Germany,hip hop,hardcore; underground; Deutschrap; hip hop; rap
486821,Bobby Digital,Bobby Digital feat. Killarmy & Method Man,United States,hip hop,
487111,Guldgruppen,Guldgruppen,,hip hop,seen live; hip hop; rap; danish; Danish Hip-Hop; ungdomshuset
487578,Schoolboy’s Death Trio,Schoolboy's death trio,United Kingdom,rap; jazz; punk; hip hop; funk; saxophone; poetry; spoken word; life; money; andrew neil hayes; banking,jazzrock
487878,'Ear Dis,'ear dis,,hip hop rnb and dance hall,
487994,Brygs,Brygs,Denmark,hip hop,trollerier
488707,Pull Out Kings,Pull Out Kings,United States,electronic; dubstep; dance; house; electro; hip hop; electronica; atlanta; edm; dirty electro; dub step; filthy electro; filthy music; pull out kings; pullout kings; pok; combichrist; slowearth,Disco; electronic; hip hop; electro; techno; dirty electro; queue; combichrist; SlowEarth
488850,St‐Saoul,St-Saoul,Canada,hip hop,french rap; canadian rap
488987,Illevate,illevate,,hip-hop; rapper; malaysia,
489878,Peacefull James,Peacefull James,Denmark,rap; hip hop,hip hop; rap; hiphop; under 2000 listeners; james; swagger; peacefull; karrierekanonen; trollerier; underground music awards
490197,XLBaron,XLBaron,Ukraine,trance; electronic; rap; jazz; house; hip-hop; mellow; idm; uplifting; russian; techno; ukranian; lounge; alternative rap; alternative hip-hop; acid jazz; underground; hard trance; soft; beats; free; instrumentals; vocal trance; jazz rap; experemental; techno-trance; creative common; downtempoo,Hip-Hop; rap; underground hip-hop; abstract hip-hop; russian hip-hop
491112,Phidizz,Phidizz,United Kingdom,rap; singer; hiphop; nottingham; grime; rapper; artist; r&b; trap; wavey; phidizz,
